url,name,born,died
Muhammad_Ali,Muhammad Ali,"Cassius Marcellus Clay Jr.(1942-01-17)January 17, 1942Louisville, Kentucky, U.S.","June 3, 2016(2016-06-03) (aged 74)Scottsdale, Arizona, U.S."
Cassius_Marcellus_Clay_Sr.,Cassius Marcellus Clay Sr.,"Cassius Marcellus Clay(1912-11-11)November 11, 1912Jefferson County, Kentucky, U.S.","February 8, 1990(1990-02-08) (aged 77)Louisville, Kentucky, U.S."
Odessa_Grady_Clay,Odessa Grady Clay,"Odessa Lee Grady(1917-02-12)February 12, 1917Hopkins County, Kentucky, U.S.","August 20, 1994(1994-08-20) (aged 77)Louisville, Kentucky, U.S."
Archer_Alexander,Archer Alexander,"Circa 1810Richmond,  Virginia","December 8,  1879 (aged 68–69)Saint Louis, Missouri"
Sonny_Liston,Sonny Liston,"c. 1930, exact date unknownSand Slough, Arkansas, U.S.","December 30, 1970Las Vegas, Nevada, U.S."
Elijah_Muhammad,Elijah Muhammad,"(1897-10-07)October 7, 1897Sandersville, Georgia, U.S.","February 25, 1975(1975-02-25) (aged 77)Chicago, Illinois, U.S."
Malcolm_X,Malcolm X,"Malcolm Little(1925-05-19)May 19, 1925Omaha, Nebraska, U.S.","February 21, 1965(1965-02-21) (aged 39)New York City, U.S."
Joe_Frazier,Joe Frazier,"(1944-01-12)January 12, 1944Beaufort, South Carolina, U.S.","November 7, 2011(2011-11-07) (aged 67)Philadelphia, Pennsylvania, U.S."
Joe_E._Martin,Joe E. Martin,"Joe Elsby Martin(1916-01-16)January 16, 1916Louisville, Kentucky, U.S.","September 14, 1996(1996-09-14) (aged 80)Louisville, Kentucky, U.S."
Cassius_Marcellus_Clay_(politician),Cassius Marcellus Clay (politician),"(1810-10-19)October 19, 1810Madison County, Kentucky, U.S.","July 22, 1903(1903-07-22) (aged 92)Madison County, Kentucky, U.S."
William_Greenleaf_Eliot,William Greenleaf Eliot,"(1811-08-05)August 5, 1811New Bedford, Massachusetts","January 23, 1887(1887-01-23) (aged 75)Pass Christian, Mississippi"
Emmett_Till,Emmett Till,"Emmett Louis Till(1941-07-25)July 25, 1941Chicago, Illinois, U.S.","August 28, 1955(1955-08-28) (aged 14)Drew, Mississippi, U.S.[1]"
Zbigniew_Pietrzykowski,Zbigniew Pietrzykowski,"(1934-10-04)4 October 1934Bestwinka, Poland","19 May 2014(2014-05-19) (aged 79)Bielsko-Biała, Poland"
Drew_Bundini_Brown,Drew Bundini Brown,"Drew Bundini Brown, Jr.(1928-03-21)March 21, 1928Midway, Florida","September 24, 1987(1987-09-24) (aged 59)Los Angeles County, California"
Boxing_career_of_Muhammad_Ali,Boxing career of Muhammad Ali,"Cassius Marcellus Clay Jr.(1942-01-17)January 17, 1942Louisville, Kentucky, U.S.","June 3, 2016(2016-06-03) (aged 74)Scottsdale, Arizona, U.S."
Boxing_career_of_Muhammad_Ali#Professional_boxing_record,Boxing career of Muhammad Ali,"Cassius Marcellus Clay Jr.(1942-01-17)January 17, 1942Louisville, Kentucky, U.S.","June 3, 2016(2016-06-03) (aged 74)Scottsdale, Arizona, U.S."
Tunney_Hunsaker,Tunney Hunsaker,"Tunney Morgan HunsakerSeptember 1, 1930Princeton, Caldwell County, Kentucky, USA","April 27, 2005(2005-04-27) (aged 74)"
LaMar_Clark,LaMar Clark,"(1934-12-01)December 1, 1934Cedar City, Utah","November 5, 2006(2006-11-05) (aged 71)South Jordan, Utah"
Doug_Jones_(boxer),Doug Jones (boxer),"(1937-02-27)February 27, 1937New York City, U.S.","November 14, 2017(2017-11-14) (aged 80)"
Henry_Cooper,Henry Cooper,"(1934-05-03)3 May 1934Lambeth, London, England","1 May 2011(2011-05-01) (aged 76)Limpsfield, Surrey, England"
Archie_Moore,Archie Moore,"(1913-12-13)December 13, 1913 or 1916Benoit, Mississippi, U.S.","December 9, 1998(1998-12-09) (aged 81)San Diego, California, U.S."
Sonny_Banks,Sonny Banks,"June 29, 1940Birmingham, Mississippi, US","May 13, 1965(1965-05-13) (aged 24)"
Gorgeous_George,Gorgeous George,"March 24, 1915Butte, Nebraska, United States[1]","December 26, 1963(1963-12-26) (aged 48)Los Angeles, California, United States"
Angelo_Dundee,Angelo Dundee,"Angelo Mirena(1921-08-30)August 30, 1921Philadelphia, Pennsylvania, U.S.","February 1, 2012(2012-02-01) (aged 90)Tampa, Florida, U.S."
Sugar_Ray_Robinson,Sugar Ray Robinson,"(1921-05-03)May 3, 1921Ailey, Georgia, U.S.","April 12, 1989(1989-04-12) (aged 67)Los Angeles, California, U.S."
Floyd_Patterson,Floyd Patterson,"(1935-01-04)January 4, 1935Waco, North Carolina, U.S.","May 11, 2006(2006-05-11) (aged 71)New Paltz, New York, U.S."
Bert_Sugar,Bert Sugar,"Herbert Randolph SugarJune 7, 1936Washington, D.C., U.S.","March 25, 2012(2012-03-25) (aged 75)Mount Kisco, New York, U.S."
Rocky_Marciano,Rocky Marciano,"(1923-09-01)September 1, 1923Brockton, Massachusetts, U.S.","August 31, 1969(1969-08-31) (aged 45)Newton, Iowa, U.S."
Trevor_Berbick,Trevor Berbick,"(1954-08-01)1 August 1954Norwich, Port Antonio, Jamaica","28 October 2006(2006-10-28) (aged 52)Norwich, Port Antonio, Jamaica"
Jersey_Joe_Walcott,Jersey Joe Walcott,"(1914-01-31)January 31, 1914Pennsauken Township, New Jersey, U.S.","February 25, 1994(1994-02-25) (aged 80)Camden, New Jersey, U.S."
Howard_Cosell,Howard Cosell,"Howard William Cohen(1918-03-25)March 25, 1918Winston-Salem, North Carolina, U.S.","April 23, 1995(1995-04-23) (aged 77)New York City, U.S."
Ernie_Terrell,Ernie Terrell,"Ernest Terrell(1939-04-04)April 4, 1939Belzoni, Mississippi, U.S.","December 16, 2014(2014-12-16) (aged 75)Evergreen Park, Illinois, U.S."
Brian_London,Brian London,"(1934-06-19)19 June 1934West Hartlepool, County Durham, England",23 June 2021(2021-06-23) (aged 87)
Karl_Mildenberger,Karl Mildenberger,"(1937-11-23)23 November 1937Kaiserslautern, Germany","4 October 2018(2018-10-04) (aged 80)Kaiserslautern, Germany"
Cleveland_Williams,Cleveland Williams,"(1933-06-30)June 30, 1933Griffin, Georgia","September 10, 1999(1999-09-10) (aged 66)Houston, Texas"
Zora_Folley,Zora Folley,"(1931-05-27)May 27, 1931Dallas, Texas, US","July 7, 1972(1972-07-07) (aged 41)Tucson, Arizona, US"
Thurgood_Marshall,Thurgood Marshall,"Thoroughgood Marshall[2](1908-07-02)July 2, 1908Baltimore, Maryland, U.S.","January 24, 1993(1993-01-24) (aged 84)Bethesda, Maryland, U.S."
